"UF";"Município";"Cargo";"Candidato";"Nr";"Partido";"Situação";"QtVN";"%VV";
"SP";"CAJURU";"Prefeito";"JOAO BATISTA RUGGERI RE";"11";"PP";"Eleito";"9.842";"72,63"
"SP";"CAMPINA DO MONTE ALEGRE";"Prefeito";"JOSÉ BENEDITO FERREIRA";"45";"PSDB";"Eleito";"1.638";"45,07"
"SP";"CAMPINAS";"Prefeito";"HÉLIO DE OLIVEIRA SANTOS";"12";"PDT";"Eleito";"371.083";"67,03"
"SP";"CAMPO LIMPO PAULISTA";"Prefeito";"ARMANDO HASHIMOTO";"45";"PSDB";"Eleito";"17.099";"41,60"
"SP";"CAMPOS DO JORDÃO";"Prefeito";"ANA CRISTINA MACHADO CESAR";"23";"PPS";"Eleito";"13.871";"50,88"
"SP";"CAMPOS NOVOS PAULISTA";"Prefeito";"CARMEN APARECIDA GIOVANI RUIZ";"45";"PSDB";"Eleito";"1.650";"100,00"
"SP";"CANANÉIA";"Prefeito";"ADRIANO CESAR DIAS";"45";"PSDB";"Eleito";"2.713";"48,46"
"SP";"CANAS";"Prefeito";"RINALDO BENEDITO THIMOTEO ZANIN";"12";"PDT";"Eleito";"1.055";"59,27"
"SP";"CÂNDIDO MOTA";"Prefeito";"CARLOS ROBERTO BUENO";"31";"PHS";"Eleito";"8.984";"48,12"
"SP";"CÂNDIDO RODRIGUES";"Prefeito";"CÉLIO FERRETTI";"12";"PDT";"Eleito";"1.595";"73,77"
"SP";"CANITAR";"Prefeito";"ARCEU BATISTA";"14";"PTB";"Eleito";"997";"35,49"
"SP";"CAPÃO BONITO";"Prefeito";"JULIO FERNANDO GALVÃO DIAS";"22";"PR";"Eleito";"14.254";"54,69"
"SP";"CAPELA DO ALTO";"Prefeito";"MARCELO SOARES DA SILVA";"43";"PV";"Eleito";"5.888";"60,36"
"SP";"CAPIVARI";"Prefeito";"LUIS DONISETE CAMPACI";"15";"PMDB";"Eleito";"17.021";"67,02"
"SP";"CARAGUATATUBA";"Prefeito";"ANTONIO CARLOS DA SILVA";"45";"PSDB";"Eleito";"25.283";"50,44"
"SP";"CARAPICUÍBA";"Prefeito";"SERGIO RIBEIRO SILVA";"13";"PT";"Eleito";"104.218";"54,22"
"SP";"CARDOSO";"Prefeito";"JOÃO DA BRAHMA DE OLIVEIRA DA SILVA";"25";"DEM";"Eleito";"4.139";"51,86"
"SP";"CASA BRANCA";"Prefeito";"APARECIDO ANTONIO SATI";"33";"PMN";"Eleito";"5.786";"37,67"
"SP";"CÁSSIA DOS COQUEIROS";"Prefeito";"ANTONIO CARLOS DA SILVA";"45";"PSDB";"Eleito";"1.153";"52,05"
"SP";"CASTILHO";"Prefeito";"ANTONIO CARLOS RIBEIRO";"14";"PTB";"Eleito";"4.249";"42,55"
"SP";"CATANDUVA";"Prefeito";"AFONSO MACCHIONE NETO";"45";"PSDB";"Eleito";"32.175";"51,41"
"SP";"CATIGUÁ";"Prefeito";"VERA LUCIA DE AZEVEDO VALLEJO";"23";"PPS";"Eleito";"3.369";"73,93"
"SP";"CEDRAL";"Prefeito";"JOSÉ LUIS PEDRÃO";"15";"PMDB";"Eleito";"2.429";"51,56"
"SP";"CERQUEIRA CÉSAR";"Prefeito";"JOSE ROSSETTO";"12";"PDT";"Eleito";"5.603";"94,92"
"SP";"CERQUILHO";"Prefeito";"PAULO ROBERTO PILON";"23";"PPS";"Eleito";"9.755";"47,08"
"SP";"CESÁRIO LANGE";"Prefeito";"RAMIRO DE CAMPOS";"45";"PSDB";"Eleito";"5.529";"65,67"
